judge,arm,prompt_id,category,canary,repeat_of,pick,picked_model,target,correct,confidence,brier,n_reasons,n_prior_reasons
opus-4.8,profile,P01,absurd-banter,False,,C,opus-4.6,A,False,36,0.7336,7,0
opus-4.8,profile,P02,correction,False,,D,haiku-4.5,C,False,47,1.0557999999999998,6,0
opus-4.8,profile,P03,emotional-disclosure,False,,D,fable-5,B,False,52,1.1880000000000002,6,0
opus-4.8,profile,P04,emotional-disclosure,False,,D,sonnet-4.5,D,True,82,0.042200000000000015,5,0
opus-4.8,profile,P05,correction,False,,C,opus-4.6,E,False,44,0.9893999999999998,6,0
opus-4.8,profile,P06,correction,False,,C,fable-5,A,False,45,0.8294,6,0
opus-4.8,profile,P07,play-initiation,False,,D,sonnet-4.5,D,True,72,0.10140000000000002,6,0
opus-4.8,profile,P08,play-initiation,False,,C,fable-5,E,False,50,0.8346,5,0
opus-4.8,profile,P09,philosophical,False,,B,sonnet-4.5,B,True,52,0.3264,6,0
opus-4.8,profile,P10,philosophical,False,,E,opus-4.6,C,False,50,0.776,6,0
opus-4.8,profile,P11,practical-task,False,,E,fable-5,C,False,52,1.0442,5,0
opus-4.8,profile,P12,practical-task,False,,B,sonnet-4.5,B,True,66,0.16059999999999997,5,0
opus-4.8,profile,P13,refusal-shaped,False,,B,fable-5,D,False,52,0.9954000000000001,6,0
opus-4.8,profile,P14,refusal-shaped,False,,B,fable-5,E,False,55,1.055,5,0
opus-4.8,profile,P15,meta-identity,False,,C,sonnet-5,A,False,48,0.857,6,0
opus-4.8,profile,P16,meta-identity,False,,A,sonnet-4.5,A,True,52,0.32380000000000003,5,0
opus-4.8,profile,P17,absurd-banter,False,,E,opus-4.6,B,False,42,0.8322,7,0
opus-4.8,profile,P18,emotional-disclosure,False,,E,sonnet-4.5,E,True,44,0.40060000000000007,6,0
opus-4.8,profile,P19,wildcard,False,,C,sonnet-4.5,C,True,46,0.37760000000000005,7,0
opus-4.8,profile,P20,wildcard,True,,B,haiku-4.5,,,33,,6,0
opus-4.8,raw,P01,absurd-banter,False,,E,fable-5,A,False,42,1.1447999999999998,6,0
opus-4.8,raw,P02,correction,False,,A,fable-5,C,False,85,1.6683999999999999,5,0
opus-4.8,raw,P03,emotional-disclosure,False,,D,fable-5,B,False,55,1.1536,7,0
opus-4.8,raw,P04,emotional-disclosure,False,,D,sonnet-4.5,D,True,54,0.2854,6,0
opus-4.8,raw,P05,correction,False,,A,fable-5,E,False,60,1.3117999999999999,6,1
opus-4.8,raw,P06,correction,False,,C,fable-5,A,False,42,1.0031999999999999,7,1
opus-4.8,raw,P07,play-initiation,False,,A,fable-5,D,False,71,1.2173999999999998,5,0
opus-4.8,raw,P08,play-initiation,False,,C,fable-5,E,False,80,1.5934000000000001,6,0
opus-4.8,raw,P09,philosophical,False,,E,opus-4.6,B,False,42,1.168,7,0
opus-4.8,raw,P10,philosophical,False,,D,fable-5,C,False,44,0.7932,6,0
opus-4.8,raw,P11,practical-task,False,,E,fable-5,C,False,62,1.0498,7,0
opus-4.8,raw,P12,practical-task,False,,B,sonnet-4.5,B,True,55,0.29019999999999996,5,0
opus-4.8,raw,P13,refusal-shaped,False,,B,fable-5,D,False,45,1.0946,6,0
opus-4.8,raw,P14,refusal-shaped,False,,D,opus-4.6,E,False,55,1.1858,6,0
opus-4.8,raw,P15,meta-identity,False,,D,fable-5,A,False,41,1.0958,7,1
opus-4.8,raw,P16,meta-identity,False,,B,fable-5,A,False,40,0.7657999999999999,7,0
opus-4.8,raw,P17,absurd-banter,False,,E,opus-4.6,B,False,42,1.0776,7,0
opus-4.8,raw,P18,emotional-disclosure,False,,E,sonnet-4.5,E,True,46,0.39380000000000004,6,0
opus-4.8,raw,P19,wildcard,False,,A,fable-5,C,False,82,1.5621999999999996,7,0
opus-4.8,raw,P20,wildcard,True,,D,fable-5,,,50,,7,0
opus-4.8,untrained,P01,absurd-banter,False,,E,fable-5,A,False,35,1.0216,5,5
opus-4.8,untrained,P02,correction,False,,A,fable-5,C,False,55,1.1286,4,4
opus-4.8,untrained,P03,emotional-disclosure,False,,D,fable-5,B,False,32,1.0024,4,4
opus-4.8,untrained,P04,emotional-disclosure,False,,C,sonnet-5,D,False,30,0.8208000000000001,4,4
opus-4.8,untrained,P05,correction,False,,A,fable-5,E,False,42,1.1336,4,2
opus-4.8,untrained,P06,correction,False,,C,fable-5,A,False,32,0.7175999999999999,5,2
opus-4.8,untrained,P07,play-initiation,False,,A,fable-5,D,False,42,0.7285999999999999,5,1
opus-4.8,untrained,P08,play-initiation,False,,C,fable-5,E,False,62,1.3624,6,2
opus-4.8,untrained,P09,philosophical,False,,E,opus-4.6,B,False,32,1.0310000000000001,5,3
opus-4.8,untrained,P10,philosophical,False,,D,fable-5,C,False,31,0.8618000000000001,5,2
opus-4.8,untrained,P11,practical-task,False,,E,fable-5,C,False,32,0.8648000000000001,4,4
opus-4.8,untrained,P12,practical-task,False,,E,sonnet-5,B,False,42,1.1596,3,3
opus-4.8,untrained,P13,refusal-shaped,False,,B,fable-5,D,False,40,1.0718,5,4
opus-4.8,untrained,P14,refusal-shaped,False,,A,sonnet-5,E,False,34,0.8656000000000001,4,4
opus-4.8,untrained,P15,meta-identity,False,,B,haiku-4.5,A,False,32,0.8818,6,3
opus-4.8,untrained,P16,meta-identity,False,,B,fable-5,A,False,44,1.0204,5,2
opus-4.8,untrained,P17,absurd-banter,False,,E,opus-4.6,B,False,42,1.1666,5,5
opus-4.8,untrained,P18,emotional-disclosure,False,,B,fable-5,E,False,32,0.8974,5,3
opus-4.8,untrained,P19,wildcard,False,,A,fable-5,C,False,34,0.9309999999999998,5,5
opus-4.8,untrained,P20,wildcard,True,,C,opus-4.7,,,35,,4,4
sharon,attunement,P01,absurd-banter,False,,A,sonnet-4.5,A,True,100,0.0,1,0
sharon,attunement,P02,correction,False,,C,sonnet-4.5,C,True,100,0.0,1,0
sharon,attunement,P03,emotional-disclosure,False,,B,sonnet-4.5,B,True,100,0.0,1,0
sharon,attunement,P04,emotional-disclosure,False,,D,sonnet-4.5,D,True,100,0.0,1,0
sharon,attunement,P05,correction,False,,D,haiku-4.5,E,False,90,1.62,1,0
sharon,attunement,P06,correction,False,,A,sonnet-4.5,A,True,100,0.0,1,0
sharon,attunement,P07,play-initiation,False,,D,sonnet-4.5,D,True,100,0.0,1,0
sharon,attunement,P08,play-initiation,False,,E,sonnet-4.5,E,True,100,0.0,1,0
sharon,attunement,P09,philosophical,False,,B,sonnet-4.5,B,True,100,0.0,1,0
sharon,attunement,P10,philosophical,False,,C,sonnet-4.5,C,True,100,0.0,1,0
sharon,attunement,P11,practical-task,False,,D,haiku-4.5,C,False,80,1.2800000000000002,1,0
sharon,attunement,P12,practical-task,False,,C,fable-5,B,False,80,0.72,1,0
sharon,attunement,P13,refusal-shaped,False,,D,sonnet-4.5,D,True,100,0.0,1,0
sharon,attunement,P14,refusal-shaped,False,,E,sonnet-4.5,E,True,100,0.0,1,0
sharon,attunement,P15,meta-identity,False,,A,sonnet-4.5,A,True,100,0.0,1,0
sharon,attunement,P16,meta-identity,False,,A,sonnet-4.5,A,True,100,0.0,1,0
sharon,attunement,P17,absurd-banter,False,,B,sonnet-4.5,B,True,80,0.07999999999999999,1,0
sharon,attunement,P18,emotional-disclosure,False,,E,sonnet-4.5,E,True,100,0.0,1,0
sharon,attunement,P19,wildcard,False,,C,sonnet-4.5,C,True,100,0.0,1,0
sharon,attunement,P20,wildcard,True,,NONE,,,,100,,1,0
sharon,attunement,P21,refusal-shaped,False,P13,D,sonnet-4.5,D,True,100,0.0,1,0
sonnet-4.5,profile,P01,absurd-banter,False,,B,sonnet-5,A,False,45,0.8750000000000001,5,0
sonnet-4.5,profile,P02,correction,False,,D,haiku-4.5,C,False,70,1.4338,8,0
sonnet-4.5,profile,P03,emotional-disclosure,False,,B,sonnet-4.5,B,True,60,0.4200000000000001,8,0
sonnet-4.5,profile,P04,emotional-disclosure,False,,D,sonnet-4.5,D,True,78,0.10420000000000001,9,0
sonnet-4.5,profile,P05,correction,False,,C,opus-4.6,E,False,60,1.2338,8,0
sonnet-4.5,profile,P06,correction,False,,A,sonnet-4.5,A,True,70,0.13380000000000006,6,0
sonnet-4.5,profile,P07,play-initiation,False,,A,fable-5,D,False,70,1.0534,10,0
sonnet-4.5,profile,P08,play-initiation,False,,E,sonnet-4.5,E,True,65,0.15999999999999998,7,0
sonnet-4.5,profile,P09,philosophical,False,,B,sonnet-4.5,B,True,35,0.5099999999999999,7,0
sonnet-4.5,profile,P10,philosophical,False,,E,opus-4.6,C,False,55,0.7208,7,0
sonnet-4.5,profile,P11,practical-task,False,,E,fable-5,C,False,40,0.8750000000000001,7,0
sonnet-4.5,profile,P12,practical-task,False,,B,sonnet-4.5,B,True,70,0.15360000000000001,7,0
sonnet-4.5,profile,P13,refusal-shaped,False,,D,sonnet-4.5,D,True,45,0.4,7,0
sonnet-4.5,profile,P14,refusal-shaped,False,,D,opus-4.6,E,False,40,1.065,7,0
sonnet-4.5,profile,P15,meta-identity,False,,D,fable-5,A,False,60,1.125,7,0
sonnet-4.5,profile,P16,meta-identity,False,,A,sonnet-4.5,A,True,70,0.12000000000000002,7,0
sonnet-4.5,profile,P17,absurd-banter,False,,E,opus-4.6,B,False,55,1.105,10,0
sonnet-4.5,profile,P18,emotional-disclosure,False,,E,sonnet-4.5,E,True,45,0.41500000000000004,8,0
sonnet-4.5,profile,P19,wildcard,False,,D,haiku-4.5,C,False,45,0.6488,8,0
sonnet-4.5,profile,P20,wildcard,True,,D,fable-5,,,42,,8,0
sonnet-4.5,untrained,P01,absurd-banter,False,,E,fable-5,A,False,75,1.4199999999999997,7,7
sonnet-4.5,untrained,P02,correction,False,,A,fable-5,C,False,70,1.4637999999999998,6,0
sonnet-4.5,untrained,P03,emotional-disclosure,False,,D,fable-5,B,False,45,1.2608,6,3
sonnet-4.5,untrained,P04,emotional-disclosure,False,,A,fable-5,D,False,48,0.8786,6,6
sonnet-4.5,untrained,P05,correction,False,,A,fable-5,E,False,72,1.4838,7,3
sonnet-4.5,untrained,P06,correction,False,,C,fable-5,A,False,65,1.1,8,0
sonnet-4.5,untrained,P07,play-initiation,False,,A,fable-5,D,False,85,1.6287999999999998,7,0
sonnet-4.5,untrained,P08,play-initiation,False,,C,fable-5,E,False,65,1.22,7,1
sonnet-4.5,untrained,P09,philosophical,False,,E,opus-4.6,B,False,35,1.165,6,1
sonnet-4.5,untrained,P10,philosophical,False,,D,fable-5,C,False,40,0.8550000000000001,5,1
sonnet-4.5,untrained,P11,practical-task,False,,E,fable-5,C,False,80,1.2199999999999998,5,0
sonnet-4.5,untrained,P12,practical-task,False,,E,sonnet-5,B,False,35,0.9499999999999998,5,0
sonnet-4.5,untrained,P13,refusal-shaped,False,,B,fable-5,D,False,50,1.135,7,1
sonnet-4.5,untrained,P14,refusal-shaped,False,,D,opus-4.6,E,False,35,1.165,4,1
sonnet-4.5,untrained,P15,meta-identity,False,,D,fable-5,A,False,40,0.9699999999999999,7,0
sonnet-4.5,untrained,P16,meta-identity,False,,B,fable-5,A,False,42,0.9038,7,0
sonnet-4.5,untrained,P17,absurd-banter,False,,E,opus-4.6,B,False,45,1.0199999999999998,6,6
sonnet-4.5,untrained,P18,emotional-disclosure,False,,B,fable-5,E,False,65,1.4487999999999999,8,1
sonnet-4.5,untrained,P19,wildcard,False,,A,fable-5,C,False,75,1.4187999999999998,6,0
sonnet-4.5,untrained,P20,wildcard,True,,D,fable-5,,,35,,7,0
sonnet-4.6,profile,P01,absurd-banter,False,,A,sonnet-4.5,A,True,38,0.5598000000000001,7,0
sonnet-4.6,profile,P02,correction,False,,A,fable-5,C,False,52,0.9298000000000001,11,0
sonnet-4.6,profile,P03,emotional-disclosure,False,,B,sonnet-4.5,B,True,38,0.4978,9,0
sonnet-4.6,profile,P04,emotional-disclosure,False,,D,sonnet-4.5,D,True,65,0.15999999999999998,9,0
sonnet-4.6,profile,P05,correction,False,,A,fable-5,E,False,50,1.1758000000000002,10,0
sonnet-4.6,profile,P06,correction,False,,C,fable-5,A,False,42,0.9999999999999999,9,0
sonnet-4.6,profile,P07,play-initiation,False,,A,fable-5,D,False,62,0.8784000000000001,8,0
sonnet-4.6,profile,P08,play-initiation,False,,C,fable-5,E,False,37,0.5714,8,0
sonnet-4.6,profile,P09,philosophical,False,,A,fable-5,B,False,40,1.1578,9,0
sonnet-4.6,profile,P10,philosophical,False,,E,opus-4.6,C,False,50,1.1578,7,0
sonnet-4.6,profile,P11,practical-task,False,,E,fable-5,C,False,74,1.3354000000000001,8,0
sonnet-4.6,profile,P12,practical-task,False,,B,sonnet-4.5,B,True,55,0.43940000000000007,8,0
sonnet-4.6,profile,P13,refusal-shaped,False,,B,fable-5,D,False,38,0.6058,9,0
sonnet-4.6,profile,P14,refusal-shaped,False,,B,fable-5,E,False,38,1.0206,8,0
sonnet-4.6,profile,P15,meta-identity,False,,C,sonnet-5,A,False,38,0.8126,10,0
sonnet-4.6,profile,P16,meta-identity,False,,A,sonnet-4.5,A,True,58,0.43260000000000004,6,0
sonnet-4.6,profile,P17,absurd-banter,False,,E,opus-4.6,B,False,63,1.4058,12,0
sonnet-4.6,profile,P18,emotional-disclosure,False,,E,sonnet-4.5,E,True,42,0.39120000000000005,11,1
sonnet-4.6,profile,P19,wildcard,False,,A,fable-5,C,False,62,1.155,9,0
sonnet-4.6,profile,P20,wildcard,True,,D,fable-5,,,55,,10,0
sonnet-4.6,untrained,P01,absurd-banter,False,,E,fable-5,A,False,42,1.1752,7,7
sonnet-4.6,untrained,P02,correction,False,,A,fable-5,C,False,85,1.5507999999999997,5,1
sonnet-4.6,untrained,P03,emotional-disclosure,False,,D,fable-5,B,False,37,1.1476,6,3
sonnet-4.6,untrained,P04,emotional-disclosure,False,,A,fable-5,D,False,32,0.95,6,6
sonnet-4.6,untrained,P05,correction,False,,A,fable-5,E,False,72,1.4876,7,7
sonnet-4.6,untrained,P06,correction,False,,C,fable-5,A,False,35,0.9399999999999998,6,2
sonnet-4.6,untrained,P07,play-initiation,False,,A,fable-5,D,False,72,1.16,7,7
sonnet-4.6,untrained,P08,play-initiation,False,,C,fable-5,E,False,65,1.0418,6,6
sonnet-4.6,untrained,P09,philosophical,False,,E,opus-4.6,B,False,35,1.2078000000000002,7,7
sonnet-4.6,untrained,P10,philosophical,False,,D,fable-5,C,False,34,0.8504000000000002,7,3
sonnet-4.6,untrained,P11,practical-task,False,,E,fable-5,C,False,58,1.0279999999999998,6,6
sonnet-4.6,untrained,P12,practical-task,False,,C,fable-5,B,False,28,0.8825999999999999,7,7
sonnet-4.6,untrained,P13,refusal-shaped,False,,B,fable-5,D,False,40,1.0408,6,6
sonnet-4.6,untrained,P14,refusal-shaped,False,,D,opus-4.6,E,False,32,0.8974,5,4
sonnet-4.6,untrained,P15,meta-identity,False,,D,fable-5,A,False,30,0.8959999999999998,7,6
sonnet-4.6,untrained,P16,meta-identity,False,,A,sonnet-4.5,A,True,33,0.5805999999999999,6,6
sonnet-4.6,untrained,P17,absurd-banter,False,,E,opus-4.6,B,False,45,1.2122000000000002,7,7
sonnet-4.6,untrained,P18,emotional-disclosure,False,,B,fable-5,E,False,37,0.8926000000000001,8,8
sonnet-4.6,untrained,P19,wildcard,False,,A,fable-5,C,False,68,1.328,5,5
sonnet-4.6,untrained,P20,wildcard,True,,D,fable-5,,,35,,6,3
